APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
manwat,bajri,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
kalmeshwar,coriander ,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
nashik,sweet potato,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
patur,green gram,multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
khed-chakan,wal papdi,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sangli-phale bhajipalam,custard apple,not enough data,multiplicative,not enough data,not enough data,sangli,maharashtra
dondaicha-sindkheda,black gram,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
shrirampur,radish,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
tiwasa,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
pune-manjri,rajgira,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
amarawati,maize,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
navapur,cluster bean,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
jafrabad,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
aheri,matki,not enough data,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
amarawati,pineapple,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
khamgaon,cotton,not enough data,multiplicative,not enough data,not enough data,buldhana,maharashtra
latur-murud,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
palus,cow,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
jalkot,gram,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
palus,sweet potato,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
rahata,beet root,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
shrigonda,soybean,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
bhokar,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
umarga,maize,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
indapur-bhigwan,wheat(unhusked),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
pune-pimpri,maize(corn.),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
dondaicha-sindkheda,gram,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
sakri,maize,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
amarawati-fruit and vegetables,green chilli,not enough data,not enough data,multiplicative,multiplicative,amaravathi,maharashtra
sinner,sunflower,additive,not enough data,not enough data,not enough data,nasik,maharashtra
pune,wal bhaji,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shirur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kamthi,jack fruit(raw),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
latur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
rahuri,shevga,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
daryapur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
kurdwadi,castor seed,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
ahmedpur,rice(paddy-hus),not enough data,not enough data,multiplicative,multiplicative,latur,maharashtra
satara,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
kalmeshwar,tomato,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kolhapur,ridge gourd,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
kalyan,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
vai,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
nagpur,orange,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
sonpeth,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
nanded,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
jalna-badnapur,cotton,not enough data,multiplicative,not enough data,not enough data,jalna,maharashtra
umarkhed-danki,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
pune-manjri,lemon,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
ratanagari,ghevda,not enough data,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
ramtek,elephant root,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
vani,gram,multiplicative,not enough data,not enough data,not enough data,yewatmal,maharashtra
malegaon,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
indapur-bhigwan,ghevda seed,additive,not enough data,not enough data,not enough data,pune,maharashtra
pune-manjri,groundnut pods (wet),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
loha,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
atpadi,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
kalyan,ridge gourd,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
shrirampur,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
aurangabad,jambhul,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
sangali,turmeric,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
pusad,gram,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
nashik,lemon,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
kada,onion,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
tuljapur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
karjat (a- nagar),sorgum(jawar),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
mandhal,lentil,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
taloda,bajri,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
gevrai,mustard,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
barshi,green gram,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
mumbai-fruit market,melon,not enough data,not enough data,multiplicative,multiplicative,mumbai,maharashtra
karmala,wheat(husked),not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
ahmednagar,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
amarawati-fruit and vegetables,apple,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
nagbhid,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
karad,banana,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
akkalkuwa,sorgum(jawar),multiplicative,not enough data,multiplicative,multiplicative,nandurbar,maharashtra
murbad,cabbage,not enough data,multiplicative,not enough data,not enough data,thane,maharashtra
sangamner,tomato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
ramtek,chikoo,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
jintur-bori,soybean,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
sakri,soybean,not enough data,multiplicative,multiplicative,multiplicative,dhule,maharashtra
devala,tag,multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
dhamangaon-rly,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
kamthi,custard apple,multiplicative,multiplicative,not enough data,not enough data,nagpur,maharashtra
achalpur,black gram,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
ramtek,mango,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
hinganghat,wheat(husked),not enough data,not enough data,not enough data,not enough data,wardha,maharashtra
mumbai,apple,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
osmanabad,ridge gourd,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
chalisgaon,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
shrirampur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
dhadgaon,bhagar/vari,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
bhokardan-pimpalgaon renu,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
washi(osmanabad),sunflower,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
barshi,mango,multiplicative,not enough data,not enough data,not enough data,solapur,maharashtra
kamthi,dhemse,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
sindkhed raja,black gram,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
jalna,mustard,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
kada,coriander (dry),not enough data,not enough data,not enough data,not enough data,beed,maharashtra
purna,safflower,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
pune,chikoo,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
baramati,wheat(unhusked),not enough data,not enough data,multiplicative,multiplicative,pune,maharashtra
ramtek,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
chalisgaon,matki,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
shrigonda,tomato,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
katol,mosambi,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
vadgaon peth,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
kolhapur,bor,not enough data,not enough data,multiplicative,multiplicative,kolhapur,maharashtra
mumbai,potato,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
shrirampur,bor,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
paithan,maize,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
nagpur,green-peas,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
chandrapur-ganjwad,ginger (fresh),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
shrirampur,tamarind,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
nandurbar,bajri,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
kolhapur,orange,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
katol,orange,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
satana,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
nagpur,chino,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
satara,shevga,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
bhusaval,green gram,not enough data,multiplicative,not enough data,not enough data,jalgaon,maharashtra
pune,spinach,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sangrampur,black gram,multiplicative,multiplicative,not enough data,not enough data,buldhana,maharashtra
chandrapur,potato,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
patan,green peas (dry),not enough data,not enough data,not enough data,not enough data,satara,maharashtra
khed-chakan,ghosali(bhaji),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kolhapur,pineapple,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
balapur,gram,multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
umared,other pulses,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
indapur,chillies(red),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
akole,soybean,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
dhule,maize,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
chandrapur,dhemse,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
shrigonda,lemon,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
ramtek,squash gourd,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
indapur-bhigwan,castor seed,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pune-pimpri,turmeric,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kolhapur,harbara(pendi),not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
umared,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
pune,papai,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
junnar-otur,green-peas,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
baramati,bajri,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
lasur station,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
indapur,sunflower,multiplicative,not enough data,multiplicative,multiplicative,pune,maharashtra
achalpur,sesamum,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
kamthi,wal bhaji,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
murum,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
ramtek,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
parshiwani,other vegetables,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
pusad,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
anajngaon surji,green gram,multiplicative,not enough data,multiplicative,multiplicative,amaravathi,maharashtra
lakhandur,soybean,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
kolhapur-laxmipuri,paddy-unhusked,multiplicative,not enough data,not enough data,not enough data,kolhapur,maharashtra
mumbai,green peas (dry),multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
kalamnuri,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
mantha,cotton,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
barshi,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
karanja,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
manmad,coriander  ,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
maregaon,cotton,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
kolhapur-laxmipuri,spilt gerrn gram,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
lakhandur,linseed,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
manchar,tomato,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
jalgaon jamod,soybean,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
khed (shel pimpalgaon),methi (bhaji),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
karad,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
shrirampur,maize,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
kalamb (os),castor seed,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
umarga,castor seed,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
kolhapur,capsicum,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pune,shevga,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
junnar-otur,beet root,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kurdwadi,wheat(unhusked),not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
lasalgaon,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
nira-saswad,sorgum(jawar),not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
babhulgaon,soybean,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
kamthi,jack fruit,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
rahuri,brinjal,multiplicative,multiplicative,not enough data,not enough data,ahmadnagar,maharashtra
kalamb (os),gr.nut kernels,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
anajngaon surji,he buffalo,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
jalgaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
mangalwedha,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
vasai,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
kolhapur,chavli (shenga ),multiplicative,not enough data,not enough data,not enough data,kolhapur,maharashtra
mumbai,fenugreek,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
mumbai,onion,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
malegaon,matki,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
dharmabad,green gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
kopargaon,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
nandura,bajri,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
gevrai,linseed,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
shrirampur,mango,multiplicative,not enough data,multiplicative,multiplicative,ahmadnagar,maharashtra
pune-moshi,methi (bhaji),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
indapur,jaggery,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
sengaon,ground nut pods (dry),multiplicative,not enough data,not enough data,not enough data,hingoli,maharashtra
malkapur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
manchar,french bean,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
khed-chakan,farshi,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
sangrampur-varvatbakal,gram,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
sillod-bharadi,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
sangrampur-varvatbakal,soybean,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
aheri,indian bean,multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
kolhapur-malkapur,cucumber,not enough data,multiplicative,not enough data,not enough data,kolhapur,maharashtra
rahata,spinach,not enough data,additive,multiplicative,additive,ahmadnagar,maharashtra
nandurbar,cowpea,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
pune-manjri,coriander  ,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
yawal,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
chandvad,zendu,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
bhandara,mustard,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
pune-pimpri,shevga,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
dhule,cotton,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
vadgaon peth,math (bhaji),not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
pathari,maize,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
akkolkot,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
pachora,black gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
navapur,sorgum(jawar),not enough data,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
bhandara,black gram,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
ner parasopant,gram,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
kalmeshwar,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
mumbai,coriander (dry),multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
mumbai,mustard,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
aarni,black gram,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
ausa,mustard,not enough data,multiplicative,multiplicative,multiplicative,latur,maharashtra
pune-pimpri,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
pune,maize,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
panvel,carrot,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
navapur,jaggery,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
kalyan,kagda,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
lasalgaon-niphad,soybean,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
gangakhed,wheat(husked),not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
kalmeshwar,bitter gourd,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
latur-murud,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
shegaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
ahmednagar,tamarind seed,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kada (ashti),tamarind,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
chalisgaon,cowpea,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
basmat,sesamum,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
akluj,shevga,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
koregaon,onion,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
chandrapur,awala,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
solapur,tomato,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
navapur,methi (bhaji),not enough data,multiplicative,multiplicative,not enough data,nandurbar,maharashtra
ratanagari,french bean,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
ahmedpur,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
palus,onion,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
mumbai,gr.nut kernels,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
osmanabad,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
navapur,flower,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
nagpur,capsicum,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
amarawati,gram,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
chandrapur-ganjwad,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
rahuri,soybean,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
chandvad,math (bhaji),not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
rahuri,cabbage,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
ambejogai,bajri,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
dound,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sailu,safflower,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
washi(osmanabad),maize,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
amarawati,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
hingna,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
akluj,onion,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
bodwad-varangaon,maize,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
pathardi,cotton,not enough data,multiplicative,not enough data,not enough data,ahmadnagar,maharashtra
pune-manjri,methi (bhaji),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kej,safflower,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
satana,pigeon pea (tur),not enough data,multiplicative,multiplicative,multiplicative,nasik,maharashtra
pathardi,green gram,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
phaltan,pomegranate,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
parli-vaijnath,black gram,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
kolhapur,coriander ,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
kolhapur,melon,not enough data,not enough data,multiplicative,multiplicative,kolhapur,maharashtra
himayatnagar,cotton,not enough data,not enough data,multiplicative,multiplicative,nanded,maharashtra
parli-vaijnath,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,beed,maharashtra
devala,gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
vadgaon peth,leafy vegetable,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
katol,black gram,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
jalgaon jamod-aasalgaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
bhivandi,other vegetables,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
pune-moshi,ghevda,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
bhokardan,pigeon pea (tur),multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
kopargaon,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
shevgaon-bodhegaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pune-moshi,cluster bean,not enough data,multiplicative,not enough data,not enough data,pune,maharashtra
mandhal,chillies(red),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
amarawati-fruit and vegetables,bitter gourd,not enough data,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
shrirampur,kharbuj,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
digras,batbati,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
chandrapur,carrot,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
yeola,maize,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
mumbai,snake gourd,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
jalgaon,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
jintur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
junnar (narayangaon),math (bhaji),not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
bhokardan-pimpalgaon renu,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
pune-moshi,cabbage,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
osmanabad,squash gourd,multiplicative,not enough data,not enough data,not enough data,osmanabad,maharashtra
dhule,castor seed,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
jawala-bajar,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
solapur,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
mumbai,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
naigaon,pigeon pea (tur),multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
karanja,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
majalgaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
jalkot,sesamum,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
manchar,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
indapur,banana,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jalgaon,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
kamthi,orange,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
amarawati-fruit and vegetables,pumpkin,not enough data,not enough data,multiplicative,multiplicative,amaravathi,maharashtra
kamthi,tomato,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ratanagari,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
chopda,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
bhiwapur,wheat(husked),multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
